Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen01_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen03_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen04_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen05_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen06_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen07_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen10_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen12_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen14_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen15_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen16_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen17_06102014_R1
EC:1.8.1.15	80	79	86	63	51	58	45	10	26	49	53	147
EC:1.8.1.2	1760	2491	2568	2180	1729	1993	625	493	636	872	1035	2428
EC:1.8.1.4	4080	5792	6213	5241	3765	4664	1471	1105	1804	1993	2531	6216
EC:1.8.1.7	733	896	1039	796	651	760	263	196	277	352	375	810
EC:1.8.1.8	2316	3816	3770	3710	2718	3157	823	666	919	1012	1653	3973
EC:1.8.1.9	5901	9038	9444	8072	5759	7039	1734	1209	2165	2472	3467	9619
EC:1.8.2.1	126	203	240	234	134	142	24	21	35	60	74	287
EC:1.8.2.3	25	44	33	50	28	20	1	4	2	18	17	47
EC:1.8.3.1	220	195	230	173	146	170	149	40	93	103	130	324
EC:1.8.3.5	1	4	1	2	1	0	0	1	2	1	4	1
EC:1.8.4.11	1632	2365	2668	2476	1668	2079	534	408	610	756	998	2530
EC:1.8.4.12	820	1431	1416	1363	991	1085	273	228	325	396	536	1312
EC:1.8.4.2	6	11	6	3	8	8	0	1	3	2	1	17
EC:1.8.4.8	982	1495	1580	1467	968	1181	348	260	392	519	567	1456
EC:1.8.4.9	1	0	3	1	0	1	0	0	0	0	0	0
EC:1.8.5.-	1540	1265	1747	1515	873	1205	383	251	462	469	726	1613
EC:1.8.5.2	699	658	1010	746	443	681	174	166	292	226	436	800
EC:1.8.5.3	91	99	111	74	48	83	41	17	36	39	42	141
EC:1.8.7.1	1155	1507	1693	1596	1068	1269	396	307	470	514	661	1437
EC:1.8.98.1	364	282	616	446	261	406	83	89	112	154	195	247
EC:1.8.99.-	72	95	91	84	85	56	38	26	39	50	30	101
EC:1.8.99.1	16	45	38	46	24	36	7	8	9	10	29	4
EC:1.8.99.2	71	74	96	128	70	112	18	35	55	30	51	115
EC:1.9.3.1	9853	13380	14950	12985	10590	12748	3786	3366	5503	5789	7748	13018
EC:1.97.1.4	792	900	1224	915	622	805	133	182	286	307	467	1370
EC:1.97.1.9	135	134	185	155	100	143	13	38	53	48	73	149
EC:2.-	3217	4446	4975	4384	3143	3944	869	865	1342	1503	2139	5004
EC:2.1.-	50	77	66	53	65	45	17	10	17	23	42	112
EC:2.1.1.-	7679	10948	11816	10824	7383	9046	2708	1814	3427	3449	5607	12068
EC:2.1.1.10	1272	1529	1876	1559	1133	1292	425	326	545	590	757	2011
EC:2.1.1.100	302	521	520	517	295	392	110	64	135	116	166	361
EC:2.1.1.103	82	67	113	85	61	60	13	23	28	24	49	105
EC:2.1.1.104	565	780	935	827	570	686	166	176	238	226	425	884
EC:2.1.1.107	2247	3032	3312	3041	2129	2534	754	560	926	972	1488	3377
EC:2.1.1.11	112	87	168	91	95	111	53	32	26	54	54	274
EC:2.1.1.113	579	538	721	776	312	522	121	129	209	142	315	503
EC:2.1.1.12	4	7	2	7	5	8	0	1	5	1	13	8
EC:2.1.1.13	4261	5707	6694	5550	4027	5126	1285	1259	1907	2167	2429	6378
EC:2.1.1.130	450	457	451	427	325	323	139	101	163	171	246	356
EC:2.1.1.131	585	628	643	542	387	456	175	124	206	217	327	350
EC:2.1.1.132	783	795	762	692	548	612	239	161	310	251	454	579
EC:2.1.1.133	410	417	443	361	291	351	123	92	176	163	212	272
EC:2.1.1.14	4618	6623	6979	6304	4123	5279	1342	1292	1871	1879	3070	6396
EC:2.1.1.143	1	1	1	2	2	0	1	2	1	1	3	1
EC:2.1.1.144	1045	1442	1389	1361	961	1132	344	230	431	443	766	1363
EC:2.1.1.148	655	681	816	720	451	700	157	132	263	243	354	629
EC:2.1.1.152	151	149	120	105	122	101	50	10	33	53	48	143
EC:2.1.1.161	11	15	13	11	6	8	3	2	2	2	5	8
EC:2.1.1.163	2480	3568	3828	3240	2221	2845	751	582	1002	1056	1562	3853
EC:2.1.1.166	314	540	543	509	436	423	113	118	146	180	243	530
EC:2.1.1.17	289	554	451	535	405	418	132	101	121	180	198	516
EC:2.1.1.170	1084	1635	1714	1681	1134	1441	499	286	515	533	861	1673
EC:2.1.1.171	703	1001	1115	1103	683	866	236	168	323	329	517	1145
EC:2.1.1.172	367	405	431	313	309	286	104	68	125	107	184	380
EC:2.1.1.173	215	402	364	334	293	321	35	77	77	98	182	286
EC:2.1.1.174	2	1	4	5	1	2	1	0	0	1	3	1
EC:2.1.1.176	2152	3638	3546	3456	2603	2943	894	642	1032	1157	1637	3906
EC:2.1.1.177	449	850	774	820	548	674	192	123	219	235	360	729
EC:2.1.1.178	54	43	70	53	27	39	7	14	4	9	37	18
EC:2.1.1.181	23	39	22	30	20	25	6	6	4	10	29	43
EC:2.1.1.182	1584	2377	2650	2467	1597	2115	574	413	705	751	1163	2492
EC:2.1.1.183	2	11	3	0	1	3	1	1	1	3	5	1
EC:2.1.1.184	147	92	154	102	73	81	25	25	45	34	77	110
EC:2.1.1.185	1323	1925	2138	1934	1344	1735	502	340	620	645	864	1935
EC:2.1.1.186	257	262	308	222	210	260	54	83	95	126	151	266
EC:2.1.1.187	257	290	344	310	204	258	73	51	64	72	138	305
EC:2.1.1.189	18	19	20	21	17	22	15	7	8	7	6	33
EC:2.1.1.190	1938	2811	3116	2887	1929	2526	633	516	802	911	1412	2878
EC:2.1.1.191	2213	3231	3340	3080	2293	2821	482	562	822	1025	1391	3674
EC:2.1.1.192	1705	2438	2645	2269	1689	2169	507	471	831	871	1084	2761
EC:2.1.1.193	1308	1982	2145	1977	1400	1753	448	342	575	611	964	2091
EC:2.1.1.195	332	376	412	355	216	273	98	86	129	123	167	222
EC:2.1.1.196	11	16	17	20	11	14	3	6	4	13	8	12
EC:2.1.1.197	509	785	839	764	555	743	124	121	196	192	371	840
EC:2.1.1.198	1418	2275	2436	2252	1418	2016	501	373	610	716	1051	2516
EC:2.1.1.199	1691	2341	2433	2264	1675	2178	473	409	667	734	1142	2575
EC:2.1.1.2	2	0	2	2	0	1	1	0	0	0	3	1
EC:2.1.1.200	92	169	193	183	104	166	20	34	30	35	80	176
EC:2.1.1.206	9	16	29	45	16	21	0	1	1	4	7	8
EC:2.1.1.207	376	623	594	573	460	521	117	96	161	213	326	733
EC:2.1.1.210	41	56	41	54	106	33	46	19	15	25	11	36
EC:2.1.1.213	68	83	116	118	62	72	35	11	31	28	56	63
EC:2.1.1.215	27	38	57	78	25	47	14	11	12	15	14	10
EC:2.1.1.217	11	10	13	5	6	14	14	5	4	6	10	13
EC:2.1.1.218	0	0	0	0	0	0	1	0	0	0	0	0
EC:2.1.1.219	221	286	313	249	172	197	108	57	93	111	135	374
EC:2.1.1.222	1448	2072	2292	2150	1388	1672	440	331	635	601	984	2321
EC:2.1.1.223	131	188	189	186	111	165	27	37	50	73	87	274
EC:2.1.1.224	1	1	6	1	4	3	0	5	2	3	3	2
EC:2.1.1.226	1086	1489	1595	1450	964	1103	390	278	466	475	658	1418
EC:2.1.1.228	1155	1713	2055	1621	1231	1604	391	355	497	617	828	1798
EC:2.1.1.242	20	48	66	102	46	97	2	14	15	14	20	51
EC:2.1.1.243	12	17	12	7	12	7	1	3	5	3	11	10
EC:2.1.1.245	94	134	115	126	88	123	20	16	25	33	71	171
EC:2.1.1.246	23	48	40	39	23	37	2	10	4	6	15	34
EC:2.1.1.247	0	0	1	2	0	0	0	0	0	0	0	1
EC:2.1.1.248	1	0	1	0	0	0	0	0	0	0	0	2
EC:2.1.1.249	0	0	2	0	0	0	0	0	1	0	0	0
EC:2.1.1.250	394	505	554	381	382	434	94	145	142	205	190	816
EC:2.1.1.251	0	0	0	1	0	0	0	0	0	0	0	0
EC:2.1.1.254	4	10	5	16	8	6	1	0	5	5	8	24
EC:2.1.1.255	24	19	21	21	10	18	5	5	3	7	14	14
EC:2.1.1.256	9	11	14	7	12	6	3	4	1	7	9	15
EC:2.1.1.257	28	37	31	71	25	24	3	8	5	6	10	21
EC:2.1.1.258	5	10	6	8	2	6	2	2	0	1	3	3
EC:2.1.1.260	20	5	19	34	13	22	1	5	5	7	7	5
EC:2.1.1.265	47	52	71	62	28	52	9	8	14	8	27	53
EC:2.1.1.266	260	545	517	487	417	476	124	98	127	143	215	372
EC:2.1.1.269	3	1	1	0	0	2	0	0	1	1	3	4
EC:2.1.1.289	40	14	30	31	12	19	8	10	14	8	18	10
EC:2.1.1.33	671	987	993	899	815	859	195	187	258	314	484	1172
EC:2.1.1.34	172	272	277	242	183	257	57	44	65	78	150	265
EC:2.1.1.35	9	23	29	19	14	25	8	9	7	14	17	31
EC:2.1.1.37	5311	5094	6243	6355	3222	4576	1443	838	1383	1352	2900	5171
EC:2.1.1.4	51	112	81	76	35	49	12	20	24	21	40	95
EC:2.1.1.41	24	40	34	58	31	47	5	4	3	9	19	18
EC:2.1.1.45	615	896	1014	971	596	962	186	174	261	308	475	991
EC:2.1.1.49	10	7	6	2	9	8	4	4	2	5	5	20
EC:2.1.1.5	238	214	293	191	108	198	43	40	63	58	104	272
EC:2.1.1.6	37	35	44	30	33	28	9	2	6	12	25	59
EC:2.1.1.63	2572	3806	3931	3531	2596	3041	879	586	1000	1106	1703	3926
EC:2.1.1.67	68	106	82	102	75	94	7	20	26	36	57	124
EC:2.1.1.72	14189	13492	18830	17321	8375	12869	2968	2302	4004	3561	7022	13985
EC:2.1.1.74	733	1035	1174	1103	782	965	296	218	351	392	449	1117
EC:2.1.1.77	1916	2608	2860	2498	1836	2195	528	486	666	738	1246	2752
EC:2.1.1.79	2607	3668	3622	3351	2728	3108	909	676	1086	1285	1690	3609
EC:2.1.1.80	9258	13331	13333	12256	9971	11573	2608	2539	4267	4548	7252	12602
EC:2.1.1.86	80	43	85	55	37	33	7	15	23	13	42	28
EC:2.1.1.90	16	29	34	29	7	19	1	9	6	12	15	26
EC:2.1.1.95	144	189	208	175	130	152	13	19	51	46	100	146
EC:2.1.1.98	28	44	58	79	38	42	9	10	13	11	24	10
EC:2.1.2.1	1975	2453	2961	2486	1764	2457	599	498	792	861	1149	2389
EC:2.1.2.10	2392	3779	3910	3542	2578	3041	732	661	1087	1138	1616	4517
EC:2.1.2.11	1232	1854	1975	1730	1226	1584	437	340	621	601	789	2061
EC:2.1.2.2	1473	2124	2295	2000	1430	1724	487	422	588	614	938	2252
EC:2.1.2.3	2138	2910	3299	2836	2060	2581	674	596	983	1010	1255	3175
EC:2.1.2.5	878	1294	1494	1326	840	1040	279	190	384	367	498	1582
EC:2.1.2.9	2350	3492	3922	3507	2356	2983	754	640	1095	1138	1765	3847
EC:2.1.3.-	2956	4590	5220	4835	2769	3769	580	716	1120	1203	2029	5376
EC:2.1.3.1	280	318	384	391	302	315	40	85	103	157	169	248
EC:2.1.3.11	55	120	107	96	71	108	14	22	19	37	49	111
EC:2.1.3.2	1271	1738	2155	1673	1261	1610	459	360	554	588	719	1673
EC:2.1.3.3	1085	1480	1708	1433	1040	1271	349	278	467	542	616	1580
EC:2.1.3.6	0	3	2	5	3	4	0	0	2	0	3	0
EC:2.1.3.7	66	89	82	101	33	62	10	14	15	14	43	73
EC:2.1.3.9	66	87	99	79	64	76	6	18	20	39	37	211
EC:2.1.4.1	64	80	99	62	59	65	19	11	23	34	42	125
EC:2.1.4.2	5	14	14	8	10	9	2	3	3	2	5	19
EC:2.10.1.1	2780	3895	4163	3637	2648	3067	966	687	1152	1222	1854	4198
EC:2.2.1.1	6470	8976	10223	9298	6121	8118	1746	1638	2417	2702	4030	8474
EC:2.2.1.10	41	55	65	52	27	45	8	13	9	16	14	45
EC:2.2.1.11	5	15	17	22	9	36	1	8	4	7	6	9
EC:2.2.1.2	3405	5034	5692	5105	3375	4344	985	829	1440	1432	2003	4884
EC:2.2.1.6	10211	13987	15309	13464	9545	11726	3223	2565	4121	4408	6602	12908
EC:2.2.1.7	1776	2546	2694	2258	1808	2076	626	531	815	866	1086	2720
EC:2.2.1.9	785	923	1004	946	607	778	308	214	321	339	513	1045
EC:2.3.-	28	11	33	20	10	20	4	4	3	4	4	9
EC:2.3.1.-	9651	13721	14527	13076	9532	11134	3002	2336	3869	4201	6459	14927
EC:2.3.1.1	2127	3089	3354	2767	2052	2524	702	590	943	1030	1399	3338
EC:2.3.1.101	183	266	274	238	188	194	45	26	61	71	116	355
EC:2.3.1.102	4	4	1	4	9	0	0	0	0	3	1	3
EC:2.3.1.109	234	301	318	242	211	247	72	60	118	124	173	348
EC:2.3.1.111	48	45	38	39	47	29	18	9	9	15	49	56
EC:2.3.1.117	717	1098	1131	1071	799	925	289	209	334	350	461	1128
EC:2.3.1.118	463	638	608	606	472	463	108	99	142	180	333	676
EC:2.3.1.12	5599	7496	7733	7114	5149	6280	1677	1515	2295	2385	4064	7529
EC:2.3.1.128	2202	3016	3360	3095	2113	2443	811	565	1004	928	1512	3473
EC:2.3.1.129	1174	1939	2062	1916	1327	1640	375	305	467	539	824	1906
EC:2.3.1.15	3071	4125	4666	4095	3010	3714	883	825	1337	1488	2031	4845
EC:2.3.1.157	2259	3273	3411	3195	2088	2718	804	572	981	1005	1464	3060
EC:2.3.1.16	1762	2327	2533	2153	1666	1894	492	425	745	860	921	2506
EC:2.3.1.164	912	1321	1287	1168	819	963	243	218	404	338	595	1120
EC:2.3.1.165	140	99	89	94	86	84	20	13	21	38	67	82
EC:2.3.1.168	534	589	711	596	471	571	177	164	227	225	342	594
EC:2.3.1.169	7	10	22	7	7	13	1	0	0	4	3	9
EC:2.3.1.174	67	121	117	105	76	88	21	28	34	50	37	108
EC:2.3.1.176	22	24	20	26	12	19	9	5	5	16	7	35
EC:2.3.1.178	19	10	22	16	7	13	9	1	3	2	14	12
EC:2.3.1.179	4735	6436	7023	5777	4403	5170	1176	1228	2058	2054	3018	7726
EC:2.3.1.18	160	246	302	265	168	228	49	29	66	83	112	256
EC:2.3.1.180	3248	4288	4496	4045	2993	3621	909	803	1235	1451	2040	4549
EC:2.3.1.181	942	1365	1463	1256	1010	1176	316	243	399	493	650	1475
EC:2.3.1.182	47	87	116	87	71	87	7	14	14	16	43	106
EC:2.3.1.183	1224	1727	1803	1712	1118	1311	408	284	521	493	735	1863
EC:2.3.1.184	79	95	120	158	77	86	16	11	14	28	48	48
EC:2.3.1.187	94	213	210	210	99	129	36	18	30	32	50	124
EC:2.3.1.189	321	456	389	339	256	279	164	68	135	161	247	497
EC:2.3.1.19	132	153	179	187	151	172	55	60	54	53	76	65
EC:2.3.1.191	1634	3035	3110	2997	2006	2376	558	444	683	759	1193	2726
EC:2.3.1.193	32	38	24	29	30	31	15	9	12	14	19	20
EC:2.3.1.20	591	679	899	686	408	525	214	82	320	324	393	1121
EC:2.3.1.201	388	650	874	679	393	616	81	108	193	223	365	875
EC:2.3.1.202	1	2	5	2	1	2	0	2	0	3	2	3
EC:2.3.1.203	15	19	36	27	19	20	7	4	9	3	15	35
EC:2.3.1.204	4	8	7	7	6	12	12	2	3	3	11	10
EC:2.3.1.207	48	98	68	90	74	88	11	17	18	26	30	94
EC:2.3.1.21	4	4	0	5	2	2	2	0	0	4	3	0
EC:2.3.1.210	54	71	101	78	50	60	3	5	11	22	34	104
EC:2.3.1.222	2	1	1	1	1	2	2	0	0	0	0	2
EC:2.3.1.227	3	2	2	3	2	1	1	0	1	0	5	1
EC:2.3.1.230	0	0	0	1	0	0	0	2	0	0	0	1
EC:2.3.1.28	45	77	63	67	52	52	36	9	16	28	56	93
EC:2.3.1.29	1342	1859	2108	1983	1488	1777	393	331	586	685	872	2239
EC:2.3.1.30	1187	1805	1703	1576	1241	1385	456	306	485	584	868	1575
EC:2.3.1.31	2164	2904	3129	2808	2048	2384	651	437	691	901	1005	2695
EC:2.3.1.37	222	381	345	345	276	253	113	69	75	108	143	295
EC:2.3.1.39	2012	3042	3059	2826	2023	2521	688	503	885	912	1415	3007
EC:2.3.1.4	15	38	28	29	22	27	1	4	8	12	18	19
EC:2.3.1.40	1779	2928	3088	3243	2162	2449	338	403	554	719	1132	2734
EC:2.3.1.41	737	1126	1120	1083	852	919	178	201	217	276	450	1440
EC:2.3.1.46	301	520	553	647	398	386	125	73	102	132	161	203
EC:2.3.1.47	1637	2716	2544	2582	1811	1993	475	478	725	793	1185	2526
EC:2.3.1.48	122	131	164	169	110	97	25	30	26	48	61	153
EC:2.3.1.5	8	7	6	7	14	13	8	1	7	11	13	10
EC:2.3.1.50	0	0	2	0	1	0	0	0	0	0	1	0
EC:2.3.1.51	2908	4197	4381	3898	2833	3323	980	702	1200	1306	1960	4884
EC:2.3.1.54	222	322	424	241	171	291	53	53	87	93	152	546
EC:2.3.1.57	183	259	295	282	182	223	78	30	91	81	125	366
EC:2.3.1.60	41	90	92	93	44	65	2	5	12	21	40	111
EC:2.3.1.61	5136	7067	7306	6638	5151	5849	1624	1457	2251	2328	4082	7989
EC:2.3.1.7	46	66	38	40	72	32	24	23	13	29	56	40
EC:2.3.1.79	678	753	846	732	543	629	238	120	262	266	447	938
EC:2.3.1.8	687	1094	1247	1009	691	961	197	147	262	304	471	1497
EC:2.3.1.81	277	309	405	296	195	235	58	51	126	82	189	424
EC:2.3.1.82	310	417	431	411	247	289	103	52	123	134	202	579
EC:2.3.1.89	6	21	17	18	17	22	10	9	9	17	12	21
EC:2.3.1.9	6100	8059	9029	8036	5562	6981	1795	1511	2379	2703	3392	8435
EC:2.3.1.94	48	48	41	39	26	38	10	6	9	24	42	39
EC:2.3.2.-	74	89	102	80	54	80	26	21	32	31	53	117
EC:2.3.2.10	12	9	7	5	14	7	3	4	8	1	4	13
EC:2.3.2.13	5	4	3	11	4	3	0	2	1	2	8	4
EC:2.3.2.15	6	15	8	5	10	5	3	6	3	11	4	18
EC:2.3.2.16	25	9	18	13	18	14	6	6	8	6	9	21
EC:2.3.2.17	2	0	2	1	1	0	0	0	0	0	0	2
EC:2.3.2.18	0	0	1	0	0	0	0	0	0	0	0	0
EC:2.3.2.2	7216	9832	10736	8388	6716	7947	2120	1724	2849	3101	4667	11422
EC:2.3.2.21	4	2	0	0	0	4	0	2	1	1	4	1
EC:2.3.2.22	3	1	0	2	2	2	0	2	0	1	1	1
EC:2.3.2.3	926	1267	1388	1056	931	1194	307	268	406	457	727	1670
EC:2.3.2.4	6	11	22	21	11	13	2	4	3	3	9	24
EC:2.3.2.5	259	418	409	346	288	367	79	53	78	118	165	387
EC:2.3.2.6	588	877	857	724	636	684	162	172	250	296	381	1092
EC:2.3.2.8	286	482	452	374	377	371	116	108	156	168	254	549
EC:2.3.3.-	63	95	103	112	66	90	15	18	28	12	33	60
EC:2.3.3.1	3051	4147	4561	3816	2856	3367	886	792	1136	1360	1720	4269
EC:2.3.3.10	191	291	320	353	205	328	34	60	72	89	131	252
EC:2.3.3.13	3160	4125	4721	4023	2893	3449	847	872	1225	1400	1616	4179
EC:2.3.3.14	235	151	256	149	157	148	43	62	82	66	75	113
EC:2.3.3.15	64	135	131	112	55	118	30	26	31	41	36	144
EC:2.3.3.5	210	368	434	412	307	371	121	75	85	106	126	319
EC:2.3.3.8	82	95	59	62	112	101	26	38	42	33	96	62
EC:2.3.3.9	1247	1956	2053	1802	1343	1574	452	333	574	670	764	1886
EC:2.4.-	4917	7217	7862	7223	4782	6128	1317	1270	1987	2038	3595	7692
EC:2.4.1.-	16765	24685	25904	23473	16579	19692	4948	3608	6427	6852	11268	27748
EC:2.4.1.1	4588	7286	7527	7035	4769	5804	1115	1267	1874	2163	2791	6506
EC:2.4.1.10	32	28	43	35	20	34	12	6	11	15	35	52
EC:2.4.1.109	14	22	30	18	13	11	6	2	8	12	18	11
EC:2.4.1.11	656	952	967	816	547	625	234	153	352	366	494	1142
EC:2.4.1.117	467	599	786	612	412	575	105	105	164	172	318	769
EC:2.4.1.12	1233	1383	1634	1522	1085	1018	555	229	424	409	632	967
EC:2.4.1.129	2979	3571	4196	3658	2483	3115	991	761	1442	1269	1916	3706
EC:2.4.1.13	8	2	7	5	8	2	6	1	2	9	4	2
EC:2.4.1.132	13	9	13	16	10	4	1	8	2	2	6	18
EC:2.4.1.133	5	18	21	20	11	17	1	2	2	3	8	5
EC:2.4.1.14	22	27	37	30	27	29	11	7	13	9	17	44
EC:2.4.1.141	1	4	0	2	4	2	3	1	3	0	2	3
EC:2.4.1.144	61	110	72	114	69	96	11	20	15	15	53	72
EC:2.4.1.15	2137	3236	3377	3172	2091	2602	800	527	1008	1086	1595	3031
EC:2.4.1.157	930	1422	1535	1287	882	1179	221	283	423	417	744	1465
EC:2.4.1.166	2	0	1	0	0	0	0	0	0	1	0	0
EC:2.4.1.173	353	294	321	293	279	233	74	81	103	90	185	281
EC:2.4.1.175	6	7	9	10	6	9	3	2	3	3	6	21
EC:2.4.1.18	3294	4610	4679	4354	3113	3467	955	806	1234	1350	1821	4241
EC:2.4.1.182	1421	2491	2617	2517	1765	2114	457	375	609	670	1145	2378
EC:2.4.1.186	3	2	3	3	2	3	0	0	0	1	3	2
EC:2.4.1.187	1275	1701	1913	1745	1100	1295	438	232	502	467	838	1522
EC:2.4.1.19	53	46	39	35	60	32	22	14	21	26	31	42
EC:2.4.1.198	1	1	1	0	2	0	0	0	1	1	0	2
EC:2.4.1.20	126	143	199	206	120	140	26	37	54	50	64	151
EC:2.4.1.208	1	0	0	0	0	0	0	0	0	0	0	0
EC:2.4.1.21	2471	3755	4146	3629	2513	3182	710	642	983	1141	1596	4018
EC:2.4.1.211	5	2	0	3	0	4	1	1	0	0	1	3
EC:2.4.1.212	239	348	289	303	183	232	57	49	87	94	200	314
EC:2.4.1.213	7	2	5	6	5	6	1	3	0	1	2	6
EC:2.4.1.216	0	1	0	0	0	0	0	0	0	0	1	0
EC:2.4.1.217	38	13	47	13	16	7	11	11	11	8	11	11
EC:2.4.1.227	2060	3019	3263	3017	2031	2749	653	542	938	1034	1593	3250
EC:2.4.1.230	468	418	533	384	328	381	95	118	197	196	327	352
EC:2.4.1.241	0	0	0	0	0	0	1	0	0	0	1	0
EC:2.4.1.242	1	0	0	0	0	0	3	1	0	0	2	0
EC:2.4.1.245	507	558	881	664	422	518	105	167	289	261	379	830
EC:2.4.1.246	34	33	33	32	20	27	4	6	6	17	18	22
EC:2.4.1.247	2	9	14	9	4	8	0	2	1	1	4	9
EC:2.4.1.25	2768	3842	4236	3784	2679	3146	1067	744	1272	1364	1964	4150
EC:2.4.1.250	883	1033	1254	1036	622	886	297	229	454	400	663	1324
EC:2.4.1.251	12	17	15	11	9	10	8	1	4	6	17	19
EC:2.4.1.252	32	47	48	69	43	36	13	12	5	16	16	37
EC:2.4.1.255	35	68	50	68	42	45	4	7	9	9	31	53
EC:2.4.1.256	3	7	2	1	3	7	0	0	3	2	11	12
EC:2.4.1.264	15	34	17	21	14	23	7	7	10	12	14	23
EC:2.4.1.276	17	27	23	24	17	32	26	9	13	14	18	26
EC:2.4.1.278	25	10	17	16	8	15	6	4	12	9	26	27
EC:2.4.1.281	47	84	79	87	48	69	19	14	13	27	26	126
EC:2.4.1.287	62	77	59	85	50	62	19	17	24	25	49	117
EC:2.4.1.288	91	63	66	41	52	75	87	23	58	75	68	134
EC:2.4.1.289	300	330	390	396	200	259	147	58	172	122	205	515
EC:2.4.1.290	29	33	30	45	25	31	3	5	7	12	30	53
EC:2.4.1.291	2	2	2	1	2	4	2	1	0	2	4	12
EC:2.4.1.292	2	2	6	3	1	0	1	1	1	4	3	9
EC:2.4.1.293	3	12	7	4	5	8	2	1	2	1	3	7
EC:2.4.1.4	125	148	142	118	114	97	63	35	60	64	53	288
EC:2.4.1.44	8	11	14	7	3	12	7	0	1	0	5	6
EC:2.4.1.46	458	711	843	760	434	549	114	105	168	156	217	294
EC:2.4.1.5	19	24	30	34	18	28	9	9	11	7	14	17
EC:2.4.1.50	1	2	1	3	0	1	0	0	2	1	2	0
EC:2.4.1.52	135	215	190	228	119	152	35	26	33	46	92	226
EC:2.4.1.56	4	6	12	9	2	8	1	1	1	5	3	6
EC:2.4.1.57	1156	1496	1521	1324	820	1175	455	236	651	545	863	1830
EC:2.4.1.58	2	0	9	4	1	3	1	1	1	1	0	1
EC:2.4.1.64	38	34	47	23	15	21	18	4	16	27	24	147
EC:2.4.1.65	9	30	20	15	22	23	5	9	7	6	11	3
EC:2.4.1.7	112	103	151	113	81	136	16	21	52	53	88	268
EC:2.4.1.8	92	91	88	66	43	92	27	4	9	24	23	49
EC:2.4.1.80	1660	2708	2774	2983	1965	2056	527	448	679	640	1036	1394
EC:2.4.1.82	12	17	9	12	20	7	5	7	2	12	7	3
EC:2.4.1.83	5223	7263	8102	7318	4861	5959	1314	1146	2034	2099	3441	8013
EC:2.4.1.87	18	33	30	25	10	17	7	4	5	5	13	24
EC:2.4.2.-	2097	2725	2927	2596	1814	2252	737	454	835	965	1464	3510
EC:2.4.2.1	1064	1377	1406	1301	929	1057	336	241	457	449	666	1725
EC:2.4.2.10	1462	2006	2311	1992	1442	1760	500	377	633	678	962	2045
EC:2.4.2.12	60	62	92	61	55	83	5	9	23	17	42	50
EC:2.4.2.14	1963	2553	2915	2435	1811	2338	610	510	861	961	1177	2704
EC:2.4.2.17	1182	1681	1777	1464	1168	1357	389	346	532	576	707	1619
EC:2.4.2.18	1557	2462	2608	2469	1707	2001	576	458	778	768	1116	2577
EC:2.4.2.19	1371	2098	2152	1920	1399	1690	475	378	622	639	970	2326
EC:2.4.2.2	682	914	1009	911	654	797	220	160	319	275	458	1032
EC:2.4.2.21	1577	1964	2123	1972	1322	1545	550	433	650	587	1063	1787
EC:2.4.2.22	60	116	90	92	83	84	44	32	22	30	40	78
EC:2.4.2.27	2	0	0	0	1	0	1	0	1	0	0	0
EC:2.4.2.28	928	1234	1335	1164	879	990	332	262	419	421	506	1378
EC:2.4.2.29	1750	2366	2826	2324	1656	2335	507	525	763	810	1145	2465
EC:2.4.2.3	256	243	357	332	166	287	59	56	68	101	122	349
EC:2.4.2.30	42	52	57	64	54	51	20	19	23	31	31	44
EC:2.4.2.36	1	1	1	1	1	0	0	0	0	0	0	1
EC:2.4.2.37	1	0	2	1	0	0	0	2	0	0	0	2
EC:2.4.2.4	575	634	811	716	537	651	194	146	224	290	421	825
EC:2.4.2.43	220	358	421	322	260	273	54	67	95	94	156	503
