Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen01_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen03_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen04_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen05_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen06_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen07_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen10_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen12_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen14_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen15_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen16_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen17_06102014_R1
EC:1.1.3.21	8	14	10	6	5	5	2	0	4	5	4	9
EC:1.1.3.37	14	26	26	38	22	20	6	13	9	5	17	33
EC:1.1.3.41	149	239	190	182	173	128	163	42	74	96	111	257
EC:1.1.3.6	1344	1678	1717	1361	1043	1080	246	234	461	567	841	2076
EC:1.1.3.8	330	429	460	383	312	347	143	72	125	159	225	540
EC:1.1.3.9	89	111	120	92	62	78	25	20	21	35	58	168
EC:1.1.5.2	5330	9557	9873	9645	6611	7789	1217	1103	1959	2357	3377	10247
EC:1.1.5.3	3400	4430	4891	4376	3178	3638	1134	862	1340	1453	2115	4975
EC:1.1.5.4	176	275	201	227	237	193	127	52	80	103	140	221
EC:1.1.5.6	2	1	3	2	2	4	3	0	1	5	1	5
EC:1.1.5.8	87	163	161	138	115	114	20	20	29	37	63	174
EC:1.1.5.9	21	27	26	17	9	19	0	4	3	1	9	41
EC:1.1.9.1	1456	3269	3218	2942	2159	2248	296	463	589	638	1120	2097
EC:1.1.98.2	430	529	652	484	397	468	134	130	259	199	287	396
EC:1.1.98.3	430	531	603	614	390	477	124	123	218	158	213	563
EC:1.1.99.1	4339	5892	5523	5306	3846	4329	1300	967	1224	1476	2579	5459
EC:1.1.99.2	235	199	226	179	107	146	55	48	94	70	96	214
EC:1.1.99.21	133	152	166	161	112	135	34	39	38	33	59	141
EC:1.1.99.24	134	200	243	255	155	170	28	35	58	49	86	204
EC:1.1.99.28	742	995	990	735	674	793	194	147	269	298	476	1094
EC:1.1.99.3	1750	3176	3244	3072	2049	2447	569	439	785	782	1147	2076
EC:1.1.99.31	237	416	378	332	297	313	111	56	86	108	167	286
EC:1.10.2.-	331	409	502	370	272	363	69	82	154	126	217	314
EC:1.10.2.2	204	346	383	396	287	316	73	91	109	101	159	268
EC:1.10.3.-	4707	6990	6948	6788	4783	5666	1744	1138	1642	1933	2772	5696
EC:1.10.3.11	14	14	8	14	18	12	12	10	4	6	15	12
EC:1.10.3.12	30	32	49	43	43	59	108	28	26	28	65	25
EC:1.10.3.3	79	91	98	80	55	66	45	17	20	24	28	82
EC:1.10.9.1	505	587	850	614	447	546	73	120	174	209	329	895
EC:1.10.99.2	0	0	0	1	0	0	0	0	0	0	0	0
EC:1.11.1.-	431	853	599	671	599	463	348	116	196	255	404	711
EC:1.11.1.1	2	7	2	5	3	5	1	0	2	4	1	8
EC:1.11.1.10	1075	1414	1463	1249	960	1004	351	218	290	443	556	1452
EC:1.11.1.15	2865	3859	4265	3866	2673	3300	796	823	1180	1314	1856	4010
EC:1.11.1.19	78	88	72	69	39	51	18	18	28	25	60	88
EC:1.11.1.21	759	986	994	950	914	817	339	275	308	453	313	815
EC:1.11.1.5	1975	3269	3142	2716	2312	2329	373	444	638	882	1335	4241
EC:1.11.1.6	1683	2937	2318	2221	2079	1706	713	376	492	692	937	2223
EC:1.11.1.9	609	1125	1020	945	755	859	229	166	214	358	373	1047
EC:1.11.2.3	2	5	6	0	0	1	0	1	1	0	5	0
EC:1.11.2.4	33	27	16	24	26	27	42	13	23	26	35	43
EC:1.12.1.2	525	725	777	700	606	587	105	174	210	246	319	494
EC:1.12.1.3	87	120	149	97	81	106	16	29	41	55	80	139
EC:1.12.1.4	1	4	2	3	0	2	0	1	0	0	2	4
EC:1.12.2.1	12	5	23	7	3	13	1	3	2	6	4	12
EC:1.12.5.1	12	6	9	8	7	9	0	2	3	3	3	6
EC:1.12.7.2	33	20	31	31	21	26	8	7	4	11	14	20
