Func_id	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen01_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen03_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen04_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen05_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen06_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen07_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen10_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen12_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen14_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen15_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen16_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen17_06102014_R1
KO:K00029	6310	9736	10575	9430	8127	8501	5535	4795	3563	4431	9372	9542
KO:K00030	4889	5703	6160	5466	4081	4030	5628	4103	4997	3700	10151	6096
KO:K00031	9707	13646	13766	14573	9877	10864	14913	7120	7618	6781	17486	13702
KO:K00032	81	110	178	117	65	65	52	39	60	53	92	154
KO:K00033	11592	14479	15646	14632	9902	11471	13373	7323	8562	7102	18895	13883
KO:K00034	4099	4413	4483	4445	3783	3829	6620	4810	4565	3830	7240	3940
KO:K00035	276	430	271	504	333	322	201	162	124	145	317	270
KO:K00036	20954	27666	29539	28551	17914	20531	19779	12346	12727	11120	28399	23554
KO:K00038	2890	3677	3115	2949	1945	2045	1458	892	1053	1052	4460	2470
KO:K00039	204	253	235	299	202	258	74	59	55	50	184	187
KO:K00040	887	1080	807	1173	752	749	866	279	278	302	910	960
KO:K00041	309	439	443	494	520	435	325	166	221	242	619	716
KO:K00042	4735	5710	6634	5675	4087	4511	8524	4489	4606	3474	9593	5679
KO:K00043	138	143	139	131	82	146	245	47	21	50	133	307
KO:K00045	898	871	790	1024	563	501	753	139	227	248	775	826
KO:K00046	8255	9022	8989	8692	6007	6445	10139	5875	5722	4786	11089	7926
KO:K00048	119	115	103	62	58	47	17	19	77	59	177	100
KO:K00050	4821	6585	6783	7657	4964	5460	8298	5012	4578	3952	9019	4946
KO:K00052	10580	13397	15276	13852	9689	11554	13796	9945	9905	7940	21636	13126
KO:K00053	8132	9891	9936	9819	7199	7264	12568	6916	7643	5979	14371	10107
KO:K00054	684	659	634	816	765	633	2779	747	1708	1379	1246	873
KO:K00055	1044	1478	968	1399	807	713	1328	499	546	435	1833	629
KO:K00057	7745	9964	8941	9351	7207	7533	7184	5032	5195	4884	14272	9322
KO:K00058	23050	30596	29793	28243	21902	24565	28627	18713	17204	14994	42401	28857
KO:K00059	70037	89444	85553	82117	63697	63269	88633	49473	58981	44731	132977	76607
KO:K00060	4908	5734	6413	6154	4319	4661	6524	4796	4743	3250	8033	4494
KO:K00061	1	4	0	0	0	0	0	0	0	0	1	1
KO:K00062	0	1	0	2	0	4	0	1	1	0	1	3
KO:K00064	3735	3258	3096	3692	2842	2765	4598	2562	2132	1592	4110	2333
KO:K00065	5162	5924	5577	4982	5496	4355	8736	4300	4106	3547	10073	4914
KO:K00066	2007	2965	3530	3315	1833	2162	3889	2672	2629	1659	4900	3268
KO:K00067	7510	10356	9975	9582	7389	7860	14188	7154	8383	6410	17243	9101
KO:K00068	241	294	221	230	303	213	308	625	341	276	864	273
KO:K00073	332	484	377	340	261	277	265	167	297	208	922	441
KO:K00074	13556	16084	17489	15276	10567	12419	15443	9507	12958	9826	27496	16678
KO:K00075	7391	9374	10000	9651	6923	8321	9543	5933	6648	5608	15297	8763
KO:K00076	953	1205	993	1062	688	716	622	394	731	615	1582	1191
KO:K00077	13407	16569	18223	15807	11874	12846	11947	8787	8114	7402	24593	15434
KO:K00078	1	5	0	0	0	1	0	0	0	1	0	0
KO:K00079	111	143	140	87	96	98	6	56	51	55	202	163
KO:K00082	2205	1908	2016	1504	1137	1253	2600	967	2163	1117	4194	1840
KO:K00086	91	120	89	59	59	68	623	37	193	89	193	84
KO:K00087	2257	3135	3872	2717	2014	2393	4726	1415	2409	1354	5210	3715
KO:K00088	12809	14941	15983	15107	10470	12109	17883	7634	11920	8569	21269	17231
KO:K00090	530	503	671	495	389	666	1200	527	403	234	530	595
KO:K00091	8111	11036	10126	11308	8091	7852	9367	7382	7173	5945	13368	7155
KO:K00094	14	27	25	29	12	4	3	20	8	15	24	14
KO:K00096	927	640	683	659	615	545	3798	677	1781	866	1609	1074
KO:K00097	4069	5926	5095	5557	5010	5168	7418	3420	3636	3858	9543	6559
KO:K00098	415	465	485	473	396	378	451	181	105	148	475	848
KO:K00099	7855	10569	10469	10446	7396	7871	8998	5479	6514	5391	15084	10123
KO:K00100	17290	23284	21109	21382	18279	17876	14019	8684	10092	9295	27646	23935
KO:K00101	5493	7877	7278	7785	5089	5363	7241	2763	2758	2711	8422	6353
KO:K00102	3999	5573	5414	5454	4551	4479	4056	2964	2193	2858	7436	5802
KO:K00103	1091	1231	1007	1005	831	780	1294	201	503	353	1459	1167
KO:K00104	15045	20288	19926	18948	13980	14642	27575	12224	15125	11082	26018	19506
KO:K00105	27	23	23	6	12	21	6	3	8	12	10	21
KO:K00106	291	244	610	196	284	219	24	64	29	104	515	343
KO:K00107	44	71	32	124	127	28	9	20	12	5	57	55
KO:K00108	14955	22084	19079	19639	16000	13018	11017	7376	4477	7332	20555	15539
KO:K00109	800	568	543	437	356	403	2220	467	745	346	1335	664
KO:K00111	12018	13368	14305	13433	9197	10526	14348	7541	8871	7501	17600	13118
KO:K00112	575	291	455	338	240	254	332	111	312	94	597	232
KO:K00113	1180	1451	1448	1456	1180	1300	1518	1105	832	1134	2330	1040
KO:K00114	21056	43224	41515	45971	29167	31162	23838	18606	15863	14420	31760	38350
KO:K00115	39	125	84	62	47	39	3	7	7	8	24	118
KO:K00116	358	607	534	546	438	474	2850	300	255	191	541	424
KO:K00117	16958	30841	30466	33949	22223	24269	12475	11100	10968	8782	22367	39505
KO:K00118	2340	2866	3168	2284	2148	2395	2544	2353	2169	1354	4101	2890
KO:K00121	10467	14453	13235	12550	9444	8874	11545	5119	6674	5703	19205	12835
KO:K00122	2832	4641	4241	4564	2699	3024	3013	1530	1127	2162	6175	5561
KO:K00123	25030	28794	33477	28050	19859	21652	18335	12487	16236	12189	41936	27922
KO:K00124	6287	7666	8942	7591	5924	5799	4913	5510	5199	3869	13952	6538
KO:K00125	1	2	0	0	1	2	0	0	0	3	0	0
KO:K00126	502	663	500	909	891	519	475	797	211	531	530	301
KO:K00127	2979	4298	3806	3645	2806	2587	1554	1968	1590	1583	5179	2698
KO:K00128	32526	43157	40457	41666	26940	28348	26826	15913	19449	16296	47216	38296
KO:K00129	912	600	854	854	533	642	792	574	706	741	926	469
KO:K00130	11018	14087	13079	13518	8299	8283	11064	4811	6427	5011	15760	13538
KO:K00131	1812	2118	2684	2579	1455	2082	2200	1575	2139	1530	3509	1996
KO:K00132	226	520	577	485	272	372	46	38	72	64	1386	1245
KO:K00133	10349	14225	14531	14483	10488	10928	14911	9175	9512	8096	18774	12019
KO:K00134	9822	11974	12719	12034	9351	10436	12571	7381	8409	6752	18950	13721
KO:K00135	18166	20162	20220	20111	14385	15227	18498	9572	10941	8803	26749	18728
KO:K00137	499	1238	799	805	532	569	652	156	571	317	2105	1734
KO:K00138	1885	1897	1849	2471	1509	1176	1153	357	582	584	1515	1669
KO:K00140	8836	11396	11635	11449	8401	8656	9263	4877	7414	4964	14079	11976
KO:K00141	1359	1518	1044	1595	852	803	2507	310	376	263	1114	968
KO:K00145	8099	10196	9971	9979	7396	7558	11409	6232	6598	5836	14869	8923
KO:K00146	3877	6073	5852	6132	3403	3686	2713	3433	2109	2348	4281	3478
KO:K00147	5659	8163	7434	7520	5659	5822	4809	4934	3385	4180	11029	6733
KO:K00148	1738	2503	1951	2313	1783	1653	2843	1404	1432	1057	2104	844
KO:K00150	207	131	289	271	205	252	2181	413	1197	552	1305	515
KO:K00151	1374	1809	1485	1877	1174	1112	1313	589	1042	523	1799	1272
KO:K00152	2	0	3	1	6	0	0	0	0	1	0	11
KO:K00153	1458	1897	1313	1209	789	951	2073	351	1239	638	2583	1775
KO:K00154	1153	1498	1456	1597	1189	915	639	306	383	390	1167	1363
KO:K00156	7465	10571	7196	8908	7006	7013	10733	3403	7352	3959	13701	3535
KO:K00158	1231	1446	2249	1017	1574	2116	1523	1467	2669	1892	5323	617
KO:K00161	15545	17961	18219	16470	12528	13516	23700	14213	17169	11692	31994	17476
KO:K00162	14528	16983	17212	15654	11597	12717	20311	10592	12859	9942	28399	15694
KO:K00163	12906	17441	17667	18120	11513	12902	18853	6814	7417	6807	18383	18406
KO:K00164	17278	24387	23711	23691	16855	19111	22025	9928	13300	10023	28809	24317
KO:K00166	4814	4849	6211	4613	3447	4257	3157	3027	4111	2490	7104	3950
KO:K00167	5785	6373	8010	5902	4163	5368	5870	5108	6256	3757	10703	6989
KO:K00169	1668	1703	2519	1824	1133	1428	2415	1006	1660	1068	3229	1695
KO:K00170	1194	1271	2065	1439	928	1189	2514	979	1610	1003	2877	1571
KO:K00171	278	301	891	387	271	373	498	312	629	196	636	349
KO:K00172	755	830	889	762	590	632	1710	465	944	768	2548	850
KO:K00174	14219	17275	21173	18010	12225	14291	18240	9074	12202	8371	23199	18853
KO:K00175	8705	11205	12988	11410	7952	8974	14935	8259	10128	6231	17374	11366
KO:K00176	436	888	1110	680	705	712	251	1681	495	495	2114	252
KO:K00177	511	812	1089	563	598	622	280	960	542	329	1026	342
KO:K00179	1814	2472	2345	2162	1643	1738	870	995	804	976	2491	2435
KO:K00180	1078	1700	1526	1464	1114	1249	763	808	704	657	1782	1466
KO:K00183	64	115	189	96	60	90	264	88	72	120	321	75
KO:K00184	11344	16179	17283	15977	12057	13692	11568	10571	9274	8775	22596	16138
KO:K00185	6618	9241	10346	9257	7068	8046	6617	6718	6527	6499	14842	10035
KO:K00186	499	814	1521	808	859	851	75	899	333	398	2157	305
KO:K00187	626	995	1932	977	921	1042	50	924	373	438	2183	401
KO:K00188	7	3	0	3	108	3	19	5	0	4	10	0
KO:K00189	1	0	1	0	0	1	0	0	0	0	0	0
KO:K00192	0	4	0	0	0	0	0	0	4	0	4	1
KO:K00193	1	0	0	0	2	0	0	0	0	0	1	0
KO:K00194	187	194	180	209	133	163	38	68	91	143	494	349
KO:K00196	21	16	13	9	8	33	18	8	22	4	77	4
KO:K00197	53	16	30	60	36	21	4	16	139	27	157	22
KO:K00198	26	49	62	69	36	35	38	9	46	18	147	15
KO:K00200	725	1036	970	992	1080	971	576	583	890	1047	1658	1414
KO:K00201	568	802	765	783	923	811	474	614	745	992	1405	1079
KO:K00202	413	513	515	489	546	513	558	551	571	844	1038	697
KO:K00203	88	107	118	59	131	91	37	70	102	192	232	149
KO:K00204	0	0	0	0	0	0	0	0	0	0	0	2
KO:K00205	41	40	129	70	75	53	10	12	9	6	260	40
KO:K00207	73	72	52	48	57	48	0	11	12	10	46	127
KO:K00208	6873	9379	9449	9114	7266	7518	7723	6219	5104	4912	14108	9262
KO:K00209	413	812	801	929	653	806	139	161	239	239	392	325
KO:K00210	564	936	865	1023	579	713	720	802	598	858	664	255
KO:K00211	79	91	34	50	52	46	21	1	5	4	42	4
KO:K00213	93	212	98	153	169	175	11	65	21	54	202	88
KO:K00214	16	15	30	19	23	13	6	39	12	16	24	6
KO:K00215	7874	11245	10185	10200	7384	8218	11812	6448	7501	6498	17115	10732
KO:K00216	495	496	485	369	399	289	1005	969	831	438	759	371
KO:K00217	1565	2415	2302	1877	1696	1498	1666	1041	1057	863	3694	2107
KO:K00218	229	167	167	239	161	145	92	92	87	73	269	143
KO:K00219	3149	3593	3273	3197	2903	2434	2972	1441	1831	1830	4081	3874
KO:K00220	923	1822	1496	1683	1732	1524	1043	980	537	1014	1946	1013
KO:K00221	516	57	307	287	132	109	611	253	596	251	425	22
KO:K00222	227	257	224	156	283	175	14	74	37	28	198	192
KO:K00223	43	42	13	15	51	11	9	17	10	14	22	8
KO:K00226	3174	2383	3524	2754	2418	2250	1395	2059	1895	1897	5206	3824
KO:K00227	520	872	667	704	670	472	39	106	79	143	714	1219
KO:K00228	1819	3100	2670	3010	2827	2802	1619	1724	1015	1638	3376	2424
KO:K00230	1204	760	1130	473	763	795	365	351	659	384	2309	1257
KO:K00231	6200	7480	7544	7939	4621	5655	7638	4829	6293	4774	12046	6808
KO:K00232	692	478	317	289	395	307	1212	83	554	360	1139	524
KO:K00239	16292	20927	23203	20868	13938	16354	24001	10606	13355	10855	29771	26331
KO:K00240	8473	10231	11506	10199	7535	8770	14126	6789	8968	6702	16492	11392
KO:K00241	4004	4737	5195	5030	3993	4455	4997	4037	3730	4050	8967	4664
KO:K00242	1609	1742	1883	2008	1621	1593	3155	1785	1719	1788	2741	1152
KO:K00243	138	238	182	285	187	203	33	18	13	50	154	227
KO:K00244	2535	3438	4017	2733	2528	2534	2085	1358	1658	1636	5639	4321
KO:K00245	791	604	1198	561	423	534	503	308	398	340	1628	1180
KO:K00246	470	399	693	332	261	239	282	267	255	241	1269	634
KO:K00247	414	335	559	282	228	226	250	243	236	242	874	391
KO:K00248	10439	11696	14582	12310	7675	9466	12165	6871	8494	5916	16666	10784
KO:K00249	33637	40431	40807	38740	27754	29572	34465	16987	23517	22149	57229	39154
KO:K00252	9598	10635	11342	11857	7170	7951	9206	6032	6437	5174	11469	9101
KO:K00253	2666	3587	3337	4065	3006	2855	2351	1707	1216	1795	3887	2979
KO:K00254	3417	4171	3756	4118	3661	3438	3465	2173	2086	2836	7126	3702
KO:K00255	546	427	371	438	262	264	890	177	335	353	792	506
KO:K00256	4112	4775	5916	5067	3314	4004	6463	4351	4217	2798	6015	4202
KO:K00257	40495	48716	50388	49263	34892	38381	48834	23845	29578	25916	66352	49621
KO:K00259	5350	7428	6639	7143	5846	6100	5939	3461	4266	4237	11690	8398
KO:K00260	394	516	788	557	248	450	1456	269	889	278	526	730
KO:K00261	9576	10644	13108	10510	7084	8816	13501	9368	10949	7451	17719	12259
KO:K00262	999	1479	2009	1590	1106	1329	190	943	549	651	2975	1711
KO:K00263	1988	2526	2455	1838	1556	1816	1740	826	1787	1151	3643	2430
KO:K00264	12	0	11	4	0	20	550	36	20	6	7	0
KO:K00265	20774	28001	28315	29895	18100	20534	25102	11378	12788	12146	26085	24896
KO:K00266	9779	14690	14329	15158	10488	11017	12070	6849	7648	6040	17848	12836
KO:K00270	9	8	6	5	3	6	22	0	10	10	4	9
KO:K00271	546	370	355	293	199	236	1095	93	200	122	686	477
KO:K00273	996	704	582	611	545	483	367	459	341	477	1324	773
KO:K00274	7327	10409	10309	10598	7930	8215	7632	4579	5361	4015	12990	11333
KO:K00275	3335	4167	3537	3701	3343	3131	5470	2279	2301	1972	7363	4601
KO:K00276	4059	4370	4075	4259	3114	2684	2089	1627	1706	1493	4334	3949
KO:K00278	7173	8987	8944	8395	6656	7143	10241	5139	6585	5145	12728	9936
KO:K00279	62	45	44	34	43	69	310	754	710	201	55	91
KO:K00280	1	0	3	1	1	0	0	0	0	0	1	0
KO:K00281	5017	6511	5492	5466	4157	5275	3988	1216	1878	2556	8114	12348
KO:K00282	7056	9120	10055	9446	6708	7156	11020	6393	7719	5733	12930	7113
KO:K00283	7377	9886	10780	10285	7290	7801	11007	5940	7863	5628	13711	7744
KO:K00284	4548	5835	5549	4565	3944	4259	2410	2897	2856	3394	9133	9928
KO:K00285	4671	6681	5973	5676	5358	5570	4581	2930	2094	2948	8288	5776
KO:K00286	5781	8038	7611	7707	5849	6262	9045	4947	5092	4290	12477	6648
KO:K00287	2047	2417	1984	2392	2072	2198	956	981	908	1249	3924	2307
KO:K00288	338	690	534	950	464	444	208	182	126	137	414	264
KO:K00290	1010	1234	976	1320	975	719	2264	598	1964	663	1294	1171
KO:K00292	170	196	134	124	101	104	396	184	194	62	267	159
KO:K00293	172	234	168	252	316	260	74	53	43	85	158	398
KO:K00294	7040	8034	9516	8253	4967	6593	10045	5366	7076	4585	11528	10359
KO:K00295	32	59	17	56	50	35	12	62	12	28	38	3
KO:K00297	6423	9318	7995	9108	7069	6511	11284	4002	3700	4113	11520	7170
KO:K00298	0	0	1	0	0	6	0	0	0	1	0	0
KO:K00299	1750	1900	1636	1764	1104	1340	1785	698	945	639	2082	1637
KO:K00301	4662	4731	4903	4288	3640	4019	4313	2446	3875	2555	6953	5878
KO:K00302	5572	9366	7413	9407	5988	6549	2110	2587	2045	2441	9036	6352
KO:K00303	9003	10197	11062	9193	7220	7800	7287	5705	6607	4964	16425	11565
KO:K00304	884	1505	1046	1479	1048	1181	453	725	336	578	2180	871
KO:K00305	706	1411	1000	1389	865	893	446	662	260	610	1637	702
KO:K00306	134	22	79	53	56	55	212	221	90	97	103	7
KO:K00311	6118	9359	10012	9309	6056	7422	7482	4475	4859	4598	11968	8960
KO:K00313	956	643	1323	829	762	958	3412	1087	2362	992	960	636
KO:K00314	1721	2651	2004	1832	1681	1514	400	469	243	552	1841	3557
KO:K00315	3315	5676	4078	6567	3927	3364	785	1293	516	1178	2447	3570
KO:K00316	4339	7625	7586	7840	4524	5151	354	2025	1766	1987	4503	3814
KO:K00317	1983	3482	2121	2755	2003	1580	590	490	361	556	2047	1627
KO:K00318	5407	6030	6567	6033	3630	4578	9022	4666	7118	4479	10078	6610
KO:K00320	6035	7006	6931	5106	4630	4547	8894	4604	9006	4593	15176	6712
KO:K00322	5504	7202	5635	7367	4368	4137	6381	4311	2947	3675	5988	5270
KO:K00324	9982	13860	14011	14184	9819	10674	15839	9000	10404	6852	17737	12063
KO:K00325	8233	11216	11745	11902	7515	8672	9783	5761	6882	4788	13056	11294
KO:K00326	1	2	2	0	3	12	0	0	1	1	0	7
KO:K00329	187	242	331	252	199	467	80	137	108	238	549	73
KO:K00330	5899	7472	7324	7157	5975	5965	8723	6569	6975	6032	15312	7309
KO:K00331	7324	8870	9088	9039	6781	7162	10963	8493	8427	6665	17842	9807
KO:K00332	6858	8802	8370	8750	6885	7055	9744	6683	6724	5678	16417	8442
KO:K00333	12131	15724	16545	16080	11283	12393	15007	9132	10515	8927	23690	18379
KO:K00334	5251	6958	6751	6698	5139	5997	7710	5354	5615	4629	11812	6028
KO:K00335	15215	17124	19528	17134	12091	14645	14401	9701	10612	9772	24917	18398
KO:K00336	12616	17299	17928	17853	11735	13964	17680	8921	10638	8893	22434	15553
KO:K00337	12673	15223	16036	15551	10993	12363	16311	9625	11272	9045	23681	16100
KO:K00338	6676	8494	8538	8202	6314	6997	10353	7051	7520	5842	16677	8920
KO:K00339	7648	9078	9321	9612	7028	7651	10495	7708	7558	6458	17131	8991
KO:K00340	5854	7144	7161	7055	5657	5750	10970	7020	7164	5600	14425	6857
KO:K00341	18714	23965	25563	25206	16612	19278	22620	11539	14395	12198	32553	26850
KO:K00342	16648	20442	22061	21626	15534	16843	19257	12816	14712	11332	28197	22349
KO:K00343	14935	17373	18873	18271	12522	14881	17451	10332	12388	10596	26861	18552
KO:K00344	25212	32564	33287	32182	22645	23260	21022	13934	13818	13811	38021	27676
KO:K00346	10	14	15	5	10	5	4	4	11	8	12	14
KO:K00347	44	32	54	37	60	36	7	2	8	16	37	31
KO:K00348	9	20	10	3	13	10	10	1	1	7	33	9
KO:K00349	14	11	1	5	7	8	7	0	1	7	11	3
KO:K00350	5	9	5	1	10	13	9	1	0	5	6	10
KO:K00351	150	247	163	230	91	110	694	183	187	154	141	110
KO:K00354	774	1256	1218	1335	832	1109	420	541	394	668	1618	827
KO:K00355	430	448	547	611	496	562	168	333	225	327	706	352
KO:K00356	5789	6905	7310	6662	5973	5870	6678	4516	4707	4540	9816	5758
KO:K00360	221	88	91	106	66	103	93	34	78	86	308	232
KO:K00362	5198	4928	5351	5521	4625	5149	3672	3201	2572	3094	7016	5011
KO:K00363	2083	2161	2222	2264	1961	1814	2815	2693	1988	2469	5555	1663
KO:K00364	120	360	239	408	260	317	72	156	35	803	177	296
KO:K00365	2046	1879	1942	2142	1241	1091	1249	533	596	476	1813	1786
KO:K00366	2743	3874	3808	3573	2996	2790	4518	2583	2505	2427	6596	3527
KO:K00367	569	374	418	324	348	453	133	172	228	252	1001	716
KO:K00368	2387	1225	2617	1512	1383	2289	4228	2307	3305	3358	6992	3991
KO:K00369	0	0	0	0	0	0	0	0	0	0	0	2
KO:K00370	1494	935	2378	1365	1067	2412	7171	1689	3562	2041	6058	3119
KO:K00371	740	412	1197	599	542	1070	4947	1061	2095	1287	3230	1386
KO:K00372	5914	5057	6769	6044	5255	5582	4930	4191	3962	4091	9659	8611
KO:K00373	452	284	640	362	310	672	4328	826	1483	937	1557	395
KO:K00374	462	261	671	390	331	761	4785	735	1559	877	1602	513
KO:K00375	10921	10575	10628	12083	7572	8501	7872	4816	3836	4230	13786	7989
KO:K00376	472	351	548	301	320	657	1239	828	1425	1779	2873	1849
KO:K00380	2586	3272	3162	3357	3071	2778	4409	1427	1300	1839	4583	3233
KO:K00381	3557	6048	5245	6060	4369	4695	3474	2184	2828	2614	6280	5624
KO:K00382	19562	25044	24693	24180	17161	18881	29722	13259	15543	12892	31218	26799
KO:K00383	2758	3502	3771	3877	3144	3110	6557	3711	2273	3187	4643	2546
KO:K00384	26862	39932	39130	38623	23906	27407	27125	15924	18654	14219	42172	40137
KO:K00385	1	3	11	2	2	2	141	13	0	3	5	0
KO:K00387	631	559	749	524	432	491	1613	975	289	262	651	675
KO:K00389	1974	3140	2536	3192	2188	2139	2088	1344	1172	969	2513	2160
KO:K00390	4876	6792	5893	6278	4654	4828	7844	3955	4995	4254	11719	5960
KO:K00392	5758	6623	7022	7018	4345	4871	7856	4540	4379	3916	8058	5316
KO:K00394	283	398	387	425	207	374	2552	423	1294	584	822	444
KO:K00395	102	159	117	143	60	99	1603	219	573	371	422	153
KO:K00399	0	0	1	0	0	0	0	0	0	0	0	0
KO:K00400	2	3	3	9	2	13	0	1	11	0	4	9
KO:K00401	0	1	0	0	0	0	0	0	0	0	0	0
KO:K00402	0	0	0	0	0	0	0	0	0	0	4	6
KO:K00404	1964	2338	2436	2825	2348	2317	1421	1000	764	1397	3517	2812
KO:K00405	1531	1974	2303	2277	1579	1940	1002	1175	601	1126	2889	1909
KO:K00406	3878	4828	4644	5448	4515	4631	4038	3328	3181	2947	7731	5188
KO:K00407	224	228	299	372	362	338	150	274	57	326	816	255
KO:K00410	543	1031	1104	1020	805	1181	198	403	369	482	1306	670
KO:K00411	1193	2159	1832	2243	2301	1633	1663	1538	694	1448	2495	1091
KO:K00412	7244	9892	9945	11781	7296	7568	10539	6756	7898	4638	9307	6374
KO:K00413	1476	2057	1632	1986	1806	1448	1580	1040	571	1112	1828	1446
KO:K00423	228	220	177	188	136	158	96	31	45	56	181	160
KO:K00425	8478	10976	10520	10573	7222	7345	14092	6509	6496	4672	11152	9888
KO:K00426	7041	8744	8194	8182	6135	6080	11496	6438	5067	4245	9381	7623
KO:K00427	119	68	119	83	51	41	7	14	13	10	19	95
KO:K00428	5516	7958	7359	7162	6390	6155	2901	4178	2745	4677	9396	8959
KO:K00432	3379	5007	3943	5163	4432	3396	2699	1606	1131	1841	4705	3956
KO:K00433	5095	8568	7209	7303	4225	4220	1365	1169	1601	1182	5822	7659
KO:K00435	398	696	597	589	394	467	984	332	365	339	816	792
