 ,Area,Mean,StdDev,Min,Max,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
282,0.505,0,0,0,0,3.071,1.065,0.604,94.038,0.673,100,1.762,0.567,0.844
283,0.205,0,0,0,0,1.757,0.545,0.478,34.379,0.833,100,1.139,0.878,0.839
284,0.074,0,0,0,0,1.049,0.353,0.267,131.065,0.845,100,1.325,0.755,0.872
285,0.658,0,0,0,0,3.125,1.012,0.827,139.907,0.846,100,1.224,0.817,0.886
286,0.318,0,0,0,0,2.231,0.790,0.513,94.772,0.803,100,1.541,0.649,0.896
287,0.322,0,0,0,0,2.324,0.923,0.445,108.136,0.750,100,2.077,0.482,0.865
288,0.680,0,0,0,0,3.219,1.194,0.724,131.059,0.824,100,1.649,0.606,0.889
289,0.170,0,0,0,0,1.780,0.527,0.410,21.480,0.674,100,1.285,0.778,0.876
290,0.318,0,0,0,0,2.395,0.718,0.564,40.088,0.697,100,1.272,0.786,0.830
291,0.396,0,0,0,0,2.449,0.770,0.656,159.025,0.830,100,1.174,0.852,0.858
292,0.235,0,0,0,0,1.796,0.594,0.505,17.760,0.916,100,1.176,0.850,0.871
293,0.531,0,0,0,0,3.357,1.322,0.512,93.699,0.592,100,2.584,0.387,0.862
294,0.035,0,0,0,0,1.104,0.370,0.120,150.325,0.359,100,3.081,0.325,0.552
295,0.022,0,0,0,0,0.933,0.256,0.108,140.152,0.314,100,2.366,0.423,0.500
296,0.131,0,0,0,0,1.329,0.428,0.389,22.547,0.929,100,1.101,0.909,0.857
297,0.231,0,0,0,0,1.796,0.682,0.431,49.089,0.899,100,1.585,0.631,0.862
298,0.301,0,0,0,0,2.044,0.684,0.560,120.852,0.904,100,1.222,0.818,0.902
299,0.096,0,0,0,0,1.368,0.508,0.240,5.698,0.643,100,2.118,0.472,0.772
300,0.222,0,0,0,0,1.687,0.571,0.496,38.301,0.981,100,1.151,0.869,0.919
301,0.139,0,0,0,0,1.291,0.457,0.388,159.706,1.000,100,1.177,0.850,0.901
302,0.248,0,0,0,0,1.835,0.643,0.492,89.684,0.927,100,1.308,0.765,0.884
303,0.409,0,0,0,0,2.488,0.869,0.600,147.116,0.831,100,1.449,0.690,0.851
304,0.174,0,0,0,0,1.609,0.503,0.441,168.223,0.845,100,1.139,0.878,0.808
305,0.257,0,0,0,0,1.889,0.736,0.444,131.408,0.905,100,1.657,0.603,0.894
306,0.213,0,0,0,0,1.703,0.602,0.451,19.532,0.925,100,1.334,0.750,0.860
307,0.052,0,0,0,0,0.972,0.343,0.194,63.264,0.695,100,1.772,0.564,0.750
308,0.871,0,0,0,0,3.467,1.181,0.939,120.962,0.911,100,1.257,0.796,0.930
309,2.056,0,0,0,0,6.396,1.953,1.340,124.845,0.632,100,1.457,0.686,0.863
310,0.871,0,0,0,0,5.144,2.269,0.489,100.017,0.414,100,4.642,0.215,0.758
311,0.161,0,0,0,0,1.477,0.465,0.442,37.883,0.928,100,1.052,0.951,0.851
312,0.379,0,0,0,0,3.421,1.166,0.414,128.257,0.407,100,2.817,0.355,0.734
313,0.200,0,0,0,0,1.796,0.603,0.423,112.934,0.781,100,1.427,0.701,0.800
314,0.157,0,0,0,0,1.609,0.571,0.349,118.983,0.761,100,1.635,0.612,0.800
315,0.305,0,0,0,0,2.900,0.728,0.533,3.653,0.456,100,1.366,0.732,0.725
316,0.253,0,0,0,0,1.819,0.698,0.461,162.662,0.960,100,1.515,0.660,0.935
317,0.196,0,0,0,0,1.687,0.614,0.406,0.608,0.866,100,1.512,0.661,0.874
318,0.427,0,0,0,0,2.791,0.818,0.665,31.235,0.689,100,1.230,0.813,0.803
319,0.453,0,0,0,0,3.647,1.102,0.524,49.587,0.428,100,2.104,0.475,0.751
320,0.248,0,0,0,0,2.768,0.693,0.456,178.857,0.407,100,1.519,0.658,0.750
321,0.266,0,0,0,0,2.263,0.698,0.485,24.175,0.652,100,1.440,0.694,0.830
322,0.196,0,0,0,0,1.835,0.586,0.426,86.413,0.732,100,1.378,0.726,0.833
323,0.235,0,0,0,0,1.889,0.631,0.475,126.908,0.828,100,1.329,0.753,0.857
324,0.166,0,0,0,0,1.477,0.502,0.420,147.475,0.953,100,1.195,0.837,0.854
325,0.240,0,0,0,0,1.967,0.589,0.518,13.014,0.778,100,1.137,0.880,0.866
326,0.375,0,0,0,0,2.247,0.747,0.639,123.896,0.933,100,1.170,0.855,0.891
327,0.287,0,0,0,0,2.060,0.637,0.575,93.136,0.851,100,1.107,0.903,0.868
328,0.266,0,0,0,0,2.005,0.707,0.479,106.073,0.830,100,1.476,0.678,0.897
329,0.213,0,0,0,0,1.835,0.672,0.405,96.117,0.797,100,1.660,0.602,0.875
330,0.144,0,0,0,0,1.329,0.484,0.378,55.930,1.000,100,1.281,0.781,0.904
331,0.144,0,0,0,0,1.368,0.464,0.394,22.666,0.965,100,1.178,0.849,0.892
332,0.518,0,0,0,0,3.241,1.197,0.551,24.710,0.620,100,2.171,0.461,0.818
333,0.196,0,0,0,0,1.609,0.584,0.428,156.548,0.951,100,1.365,0.733,0.900
334,0.139,0,0,0,0,1.291,0.457,0.388,110.294,1.000,100,1.177,0.850,0.901
335,0.379,0,0,0,0,2.488,0.812,0.594,24.373,0.769,100,1.366,0.732,0.853
336,0.183,0,0,0,0,1.516,0.521,0.447,54.247,1.000,100,1.164,0.859,0.884
337,0.174,0,0,0,0,1.889,0.505,0.439,128.046,0.613,100,1.152,0.868,0.748
338,0.161,0,0,0,0,1.477,0.460,0.446,31.821,0.928,100,1.030,0.971,0.881
339,0.192,0,0,0,0,2.169,0.552,0.442,134.227,0.512,100,1.247,0.802,0.772
340,0.401,0,0,0,0,2.324,0.755,0.676,70.637,0.932,100,1.118,0.894,0.911
341,0.401,0,0,0,0,2.829,1.179,0.433,65.731,0.629,100,2.723,0.367,0.836
342,0.152,0,0,0,0,1.407,0.469,0.414,101.158,0.968,100,1.132,0.884,0.909
343,0.601,0,0,0,0,3.808,1.140,0.672,57.524,0.521,100,1.697,0.589,0.765
344,0.166,0,0,0,0,1.407,0.494,0.426,90.000,1.000,100,1.159,0.863,0.950
345,0.122,0,0,0,0,1.252,0.423,0.367,14.191,0.978,100,1.152,0.868,0.862
346,0.362,0,0,0,0,2.395,0.773,0.595,139.142,0.792,100,1.299,0.770,0.869
